Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-cards.smarthealth.terminology.json	9171	-	0	0	0	0	0	0	14	111	0	0	0	0	0	0	0	0	0	0	147	82	0	0	0	13	0	0
input/vocabulary/immunization-orthopoxvirus-cvx.json	2617	13	1	0	0	1	0	0	0	24	0	0	0	0	0	0	0	0	0	0	26	6454	0	1	0	0	0	0
input/vocabulary/immunization-orthopoxvirus-all.json	2656	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	18	117	0	0	0	1	0	0
input/vocabulary/immunization-covid-cvx.json	22957	28	0	0	0	0	0	0	1	44	0	0	0	0	0	0	0	0	0	0	114	210	0	0	0	3	0	1
input/vocabulary/immunization-covid-mapping-cvx-air.json	7343	17	0	0	0	0	0	0	9	52	0	0	0	0	0	0	0	0	0	0	31	67	0	0	0	1	0	0
input/vocabulary/immunization-covid-all.json	43471	49	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	98	200	0	0	0	5	0	0
fsh-generated/resources/ValueSet-immunization-all-cvx.json	28407	50	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	59	184	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-identity-assurance-level.json	1586	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	78	0	0	0	0	0	0
fsh-generated/resources/ValueSet-immunization-covid-snomed.json	17089	24	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	111	121	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-designation-use.json	866	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	67	0	0	0	0	0	0
fsh-generated/resources/ValueSet-immunization-covid-icd11.json	4525	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	94	0	0	0	1	0	0
fsh-generated/resources/ValueSet-immunization-all-icd11.json	21759	35	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	47	138	0	0	1	1	0	1
fsh-generated/resources/ValueSet-lab-qualitative-result.json	4389	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	177	0	0	0	0	0	0
fsh-generated/resources/ValueSet-immunization-all-snomed.json	839	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	66	0	0	0	0	0	0
fsh-generated/resources/ValueSet-lab-qualitative-test-covid.json	10701	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	88	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-health-card.json	1141	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	49	0	0	0	0	0	0
